Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,states
3.9133433440778924e-07,1.363287092860739e-06,8.610793580823387e-07,7.377735098722004e-07,7.476102424932215e-07,8.406478452139023e-07,1.3617697612941988e-06,1.2580632270803542e-06,1.0310948705414467e-06,1.1865367140481777e-06,1.3562414430860676e-06,1.4038680267562753e-06,1.9849235312507384e-06,1.8306320145538911e-06,1.462306753413402e-06,1.742090129488346e-06,1.734346784166071e-06,1.6891256133169624e-06,1.4388237049382034e-06,1.592272967738277e-06,1.3705657604902618e-06,1.2224956725606735e-06,1.1094519574578559e-06,1.1339932969658322e-06,9.641723631090528e-07,9.984023912825983e-07,7.270470298130782e-07,6.548308324592582e-07,9.034439141589836e-07,5.334968542292877e-07,7.471560935385135e-07,3.346546106469148e-07,1
4.204344837923585e-07,8.881154583562061e-07,5.567400730363751e-07,3.524603009579393e-07,6.802033517486573e-07,3.3932199616125e-07,7.438695430090102e-07,8.569059187610973e-07,6.874541860429731e-07,1.0096334195321165e-06,1.0189890360653426e-06,1.6995825468306041e-06,2.5148111745939418e-06,1.6252845345254232e-06,1.249430302810595e-06,1.302322183176149e-06,1.478793135409431e-06,1.4515049753720526e-06,1.7199646717043724e-06,1.5643148056328647e-06,1.3101354141079337e-06,1.429718774077674e-06,1.6621330191486725e-06,1.4465607120276423e-06,1.0873558024420054e-06,1.2380818619358308e-06,1.0759316878241173e-06,8.683812270175529e-07,9.165402469823957e-07,5.787091504971784e-07,7.662566599718022e-07,4.3536662418083745e-07,1
3.1303283503619965e-07,1.3300250840896814e-06,8.385810300260905e-07,6.585945139375135e-07,8.853862060103507e-07,7.390043998528164e-07,1.037727418981663e-06,1.3041807239078489e-06,1.1502767494956092e-06,1.2394910432373547e-06,1.4004244028452217e-06,1.5934413826462453e-06,1.8464229077707265e-06,1.5950104201285782e-06,1.642456425299874e-06,1.9816896509226856e-06,1.2095871813942727e-06,7.620381800563276e-07,1.033081551678138e-06,8.905547754246639e-07,9.726441941011633e-07,6.033723164081016e-07,1.4638085546268573e-06,1.2192820305543938e-06,1.093647615206882e-06,4.2369567987934774e-07,5.580159968218531e-07,4.944890611688263e-07,1.1173438659100192e-06,1.0125383197222098e-06,4.87365096936079e-07,3.5259658070660034e-07,1
4.2205074343888164e-07,1.1832823398472425e-06,1.2044372012106556e-06,1.7237486214375634e-06,2.5947333713211178e-06,2.167864950279493e-06,1.4134581742386198e-06,2.2293841504004413e-06,2.9625013495541143e-06,3.893661383249046e-06,3.5371894448463786e-06,2.286409464427348e-06,3.1239024204123472e-06,4.083340146444939e-06,4.6507039267656986e-06,6.012736123681007e-06,5.194531084797751e-06,4.786598503096912e-06,3.097201762875775e-06,3.200541868558201e-06,2.3392753524443054e-06,1.7883069293113531e-06,1.7305552169699376e-06,1.4454441400007606e-06,1.0773518850004257e-06,1.4492701661277197e-06,1.4886809765552342e-06,9.537287001351261e-07,1.1066615465991555e-06,4.91451711447125e-07,1.0632374078616156e-06,5.30386033660784e-07,1
2.4115795374015593e-07,1.2593585498802219e-06,9.206453003567431e-07,8.238514309252738e-07,1.2014665637879424e-06,1.4540586115698648e-06,1.316529911843536e-06,1.6063109559381957e-06,1.5692948227925431e-06,1.7902177502308803e-06,1.6035060846735492e-06,1.5161981981917757e-06,2.316527306911784e-06,1.985082988293102e-06,1.843162021481745e-06,1.9071968532409686e-06,2.094086754655832e-06,2.048577110479101e-06,1.8641627298835493e-06,2.0351837809135594e-06,1.8558602538049888e-06,1.7310166094568024e-06,1.5979686487778617e-06,1.3105522002084652e-06,1.4164137243362896e-06,1.580702179970521e-06,1.203022775197099e-06,1.1688369250136145e-06,1.1408344745861096e-06,6.505948901707038e-07,7.509014564842141e-07,3.007127010208703e-07,1
5.515950878004636e-07,9.745116048924213e-07,6.58918050600129e-07,9.07006640545086e-07,1.168158312783774e-06,9.771246078551479e-07,1.0940624254816145e-06,1.2414977077293953e-06,1.3675896739416348e-06,1.6669870951923686e-06,1.4713483907914032e-06,1.15561410077854e-06,2.2622731835371957e-06,1.362372684298503e-06,1.8063455572443313e-06,1.9711162513451687e-06,1.8781287184100172e-06,2.3201003860583686e-06,2.7784993787500047e-06,2.0671359793579094e-06,1.5840982479467513e-06,1.714792774572153e-06,1.946116139916298e-06,1.2466699234450694e-06,1.5395870897604538e-06,1.1246664591858693e-06,1.199020565687632e-06,8.842586462288358e-07,1.2262602409241733e-06,6.679436939029009e-07,8.822810375514667e-07,4.3656319043598434e-07,1
3.423385883224717e-07,7.964109939787929e-07,5.285484369203041e-07,9.0951172218284e-07,1.3826440007895406e-06,1.0323788079995789e-06,8.491793583777667e-07,1.2165916688724871e-06,1.5440221039614703e-06,2.158481783064356e-06,1.7361031280678655e-06,1.4339257147446633e-06,2.4022684184832825e-06,2.4872658605243237e-06,2.6781115904998517e-06,3.3018656318022533e-06,3.005982658798616e-06,2.7564899873730612e-06,2.483014651718592e-06,2.1771489517204054e-06,1.972628920226671e-06,1.5899702941983519e-06,1.9930233353533325e-06,8.121964909203134e-07,1.028168179703563e-06,1.2285695651969426e-06,1.0638830961141031e-06,9.58791211895981e-07,9.727027015085418e-07,7.038848439633743e-07,6.33684819774285e-07,4.979424918018482e-07,1
3.509894234136234e-07,1.4810309201815673e-06,1.4767995504988135e-06,7.429331032737351e-07,7.793814159823987e-07,1.1417677359758624e-06,1.5408071654497391e-06,1.6585561638371167e-06,1.032347779634998e-06,1.542179892020621e-06,2.0294412094155597e-06,1.9611129950978983e-06,2.8229235303911955e-06,2.8082850833081913e-06,2.41527167074997e-06,2.8214316836283757e-06,2.2284218428940208e-06,1.993808849960178e-06,2.2013884555785294e-06,1.6611285073494837e-06,1.2088759973726325e-06,1.4091282902185323e-06,2.1090397896356134e-06,1.4400268870136152e-06,1.4392009439834174e-06,1.109822865882563e-06,6.194932881208362e-07,7.780308873873789e-07,1.0997847444841418e-06,5.815157465414071e-07,5.703229274529185e-07,4.486102144247092e-07,1
4.0477932263474937e-07,8.876310107485287e-07,9.261881007361435e-07,1.0176428805946382e-06,1.7205072348939023e-06,1.2020061162055612e-06,1.0197915280447241e-06,1.0567797473217515e-06,1.7422836635600592e-06,1.946377309220113e-06,1.8034714711653532e-06,1.1575358161279052e-06,1.5538358950645828e-06,2.1157814311868303e-06,2.2216076816497224e-06,2.5387542393233145e-06,2.733749097788238e-06,2.424973913787453e-06,1.7148401680893542e-06,1.9207224947474305e-06,2.0236766485642156e-06,1.2750122546317371e-06,7.263769247786479e-07,8.057896972049816e-07,7.746167203182337e-07,1.1386623277878563e-06,1.413437515149526e-06,7.811707989904786e-07,6.703904006421972e-07,5.342358851207336e-07,9.351884343362211e-07,4.1029796198688775e-07,1
5.073866990310747e-07,9.836091726782288e-07,9.503601707688273e-07,1.083510078712598e-06,1.3801300874270652e-06,1.1476172286646755e-06,1.220703494725414e-06,1.1160032442414289e-06,1.5672174503060834e-06,1.915791860791831e-06,1.5397135185934524e-06,1.3616836885311368e-06,2.178374579785034e-06,1.3332001703518518e-06,1.379302068015362e-06,1.9864765113917574e-06,2.32412715987271e-06,1.9059277436792454e-06,1.9982223957594428e-06,1.4901814158768989e-06,1.4150758700503253e-06,1.4720022730368486e-06,1.359543283514688e-06,1.3442338871897832e-06,1.253715688855766e-06,1.171535286646823e-06,1.1288870089106106e-06,1.0585984879875502e-06,1.4908352340735041e-06,9.75270821628365e-07,8.916853662662814e-07,5.032855414485818e-07,1
